case_id,n_tumor_components,laterality,left_frac,bbox_extent_x,bbox_extent_y,bbox_extent_z,bbox_voxels,t1ce_brain_mean,t1ce_brain_std,t1ce_brain_p1,t1ce_brain_p99
BraTS2021_00048,4,left,0.0,142,192,143,3898752,2954.462429482374,959.6809281471841,692.0,6436.0
BraTS2021_00049,1,left,0.0015742229367631296,147,166,124,3025848,1129.3417157703598,307.6253401583254,354.0,1889.0
BraTS2021_00051,9,left,0.00014715891323142577,146,175,144,3679200,2087.1597209699153,740.2056003569024,94.31457717895509,4775.877216796873
BraTS2021_00052,8,right,0.9999878209187899,141,181,144,3675024,1632.3323621518714,619.7392798841242,469.0,4133.0
BraTS2021_00053,6,left,0.08095708317508546,141,208,145,4252560,2533.9634571877755,1210.9706754617862,584.0,7381.0
BraTS2021_00054,3,left,0.0011245347610612424,143,162,139,3220074,3046.268711638618,1230.9519281689386,918.0,8643.0
BraTS2021_00056,1,left,0.0,134,170,139,3166420,2198.2798762771304,733.3519526830696,773.0300000000007,5041.0
BraTS2021_00058,3,left,0.0,139,159,137,3027837,2237.0923466013287,713.6572211388587,829.0,4950.0
BraTS2021_00059,1,left,0.0010339019794220155,138,161,142,3154956,2255.688757207232,623.1915916933465,867.0,4505.0
BraTS2021_00060,1,right,0.9966635187812275,136,192,149,3890688,2704.929591353501,1023.0471854769833,818.0,6634.0
BraTS2021_00061,1,left,0.0,136,188,141,3605088,2513.6046848997375,873.5809445710739,637.0,5450.0
BraTS2021_00062,1,right,0.9753756797631689,131,174,146,3327924,2459.877016943946,1160.2365340901715,780.0,8203.0
BraTS2021_00063,1,right,1.0,145,184,145,3868600,1953.6735925644323,692.0849915401874,588.0,4670.0
BraTS2021_00064,1,left,0.009050933685642734,141,179,146,3684894,2239.402790386164,976.8042982393902,574.0,6336.0
BraTS2021_00066,1,right,1.0,137,173,125,2962625,1789.1502037595492,693.5583227672084,434.0,4203.0
BraTS2021_00068,4,right,0.9885810319767442,130,166,126,2719080,2077.820519467267,578.5726229288998,908.0,4332.3300000000745
BraTS2021_00070,2,left,0.01565839932108652,147,182,141,3772314,1706.3776105452944,599.2120266789603,567.0,4245.0
BraTS2021_00071,1,right,1.0,139,185,143,3677245,2154.5011670315384,795.8917787695806,619.0,5310.0
BraTS2021_00072,2,left,0.0,140,187,141,3691380,2479.721515958331,681.0986996949873,976.0,5036.649999999907
BraTS2021_00074,2,right,0.86669162665727,143,181,144,3727152,2178.235063852964,828.7287635170234,703.0,5574.0
BraTS2021_00077,1,right,0.8955217069435852,146,172,148,3716576,2055.345666485323,863.1931470215449,680.0,5515.0
BraTS2021_00078,2,right,0.9991923404505272,141,177,137,3419109,2260.7972629171272,823.2746685613226,797.0,5603.0
BraTS2021_00081,1,left,0.006164950003759116,139,150,145,3023250,2663.860209130517,1062.333277232708,835.0,7327.0
BraTS2021_00084,3,right,1.0,128,171,128,2801664,2308.91192494089,762.6117918034867,866.0,5257.0
BraTS2021_00085,5,left,0.0,137,184,144,3629952,2424.573767521172,691.2148201674838,867.0,4803.0
BraTS2021_00087,1,left,0.01906266724432325,132,171,141,3182652,2631.2379558041725,922.601506791374,1100.0,6790.0
BraTS2021_00088,1,right,0.9772605692842029,136,176,125,2992000,1963.9486785090705,685.2433704879032,718.0,4630.0
BraTS2021_00089,1,left,0.013281650800889243,139,173,124,2981828,1918.526613282043,773.6612191357764,616.0,5120.0
BraTS2021_00090,1,left,0.000727198238336662,135,177,140,3345300,2709.932612128922,891.777277616796,614.0,6182.0
BraTS2021_00094,2,right,1.0,139,181,142,3572578,1763.8139401327019,546.9348802536308,701.0,3733.0
BraTS2021_00095,1,bilateral/midline,0.8236503290642394,149,193,136,3910952,2254.6880360809255,975.5257923950273,647.0,6227.0
BraTS2021_00096,2,right,1.0,145,178,148,3819880,2134.642618515969,868.0847744108719,612.0,5936.0
BraTS2021_00097,1,left,0.0,133,175,133,3095575,2131.6352924909934,796.65842704086,590.0,5260.0
BraTS2021_00098,1,right,1.0,132,167,143,3152292,2398.400480142603,1100.5010671814953,524.0,7083.0
BraTS2021_00099,1,right,0.966620604212332,133,166,133,2936374,2869.3264466532537,1011.2462693009618,1043.0,7172.0
BraTS2021_00100,1,left,0.0,134,161,135,2912490,309.73242183010643,57.86265850641026,144.0,505.0
BraTS2021_00101,1,left,0.0,137,178,137,3340882,3217.9984659726697,789.0083735237395,1292.0,5595.0
BraTS2021_00102,4,right,1.0,138,172,140,3323040,254.54512337958826,42.496982816267355,121.0,386.0
BraTS2021_00103,2,right,0.9832132484980158,150,173,141,3658950,1967.0550143293192,690.6289197107651,725.0,4813.389999999898
BraTS2021_00104,5,left,0.1329448163657216,137,167,136,3111544,323.66736394710773,53.349084726878445,178.0,504.0
BraTS2021_00105,2,left,0.0025099313831708197,142,164,138,3213744,487.0182862050721,94.72908174511274,216.0,799.0
BraTS2021_00106,1,right,0.9817722321530781,150,160,140,3360000,465.9816619055037,78.85894946268567,243.0,664.0
BraTS2021_00107,3,left,0.0,136,164,139,3100256,211.2865635411743,32.76416688135285,114.0,295.0
BraTS2021_00108,2,left,0.0,140,169,141,3336060,118.75311365687521,34.6470707006802,23.0,175.0
BraTS2021_00109,5,left,0.0,135,157,144,3052080,1589.8028383641147,236.48327040087736,945.0,2155.0
BraTS2021_00110,3,left,0.0,133,169,127,2854579,283.4996287579444,75.58962279966585,81.0,546.0
BraTS2021_00111,1,left,0.0013748474037903122,134,175,143,3353350,333.3155307685673,81.62672702415006,65.0,509.0
BraTS2021_00112,4,left,0.0,139,171,137,3256353,374.39292097896964,73.80675059121391,182.0,557.0
BraTS2021_00113,12,left,0.0,145,161,136,3174920,344.9907995225907,45.64175796758114,195.0,438.0
BraTS2021_00115,2,right,0.9999882138016383,131,174,136,3099984,2899.5796304869623,729.3053653212702,1338.0,5492.0
BraTS2021_00116,6,right,0.9999411480831931,137,174,137,3265806,290.0880547060445,56.127226062910054,125.0,479.0
BraTS2021_00117,10,right,0.9293201038822667,142,159,138,3115764,316.4364088191221,97.38818111119888,71.0,519.0
BraTS2021_00118,6,right,0.9917737439662792,137,169,141,3264573,261.41762315811707,73.77836925871621,110.0,537.0
BraTS2021_00120,8,right,0.9950087374399301,128,163,139,2900096,265.4814303908252,63.03910290911961,65.0,452.0
BraTS2021_00121,1,left,0.001257183908045977,137,162,130,2885220,1004.807117139043,372.29248110744123,103.0,1930.0
BraTS2021_00122,2,left,0.0,136,161,139,3043544,369.77025487657966,76.8904904306599,146.0,537.0
BraTS2021_00123,4,right,0.9970493141224849,139,167,140,3249820,354.16267711680285,61.046456729659376,174.0,580.0
BraTS2021_00124,11,left,0.0061798518653155814,136,168,142,3244416,379.29886200376336,79.27576552965161,200.0,619.0
BraTS2021_00126,2,right,0.9994371008754052,140,164,141,3237360,378.808363942978,101.5685690288729,161.0,744.0
BraTS2021_00127,1,left,0.0,151,163,138,3396594,682.678528753019,217.56771441998177,190.0,1196.0
BraTS2021_00128,1,right,1.0,137,158,141,3052086,310.651299992386,56.09944271502669,154.0,493.0
BraTS2021_00130,2,right,1.0,131,172,146,3289672,305.3987891633626,82.14054969706265,108.0,572.0
BraTS2021_00131,1,left,0.0,135,182,140,3439800,365.3530712883989,88.15392205711615,156.0,658.0
BraTS2021_00132,11,left,0.0,139,169,131,3077321,293.55014810237486,65.46137339258114,134.0,529.0
BraTS2021_00133,11,right,0.9996509511580942,147,160,139,3269280,657.8478943643885,207.8105009640039,92.0,1122.0
BraTS2021_00134,4,bilateral/midline,0.1577062295165104,139,177,134,3296802,255.36133221434787,52.235580856236794,108.0,327.0
BraTS2021_00136,13,left,0.0,135,173,139,3246345,550.9976055447936,184.060540020995,78.0,1080.0800000000745
BraTS2021_00137,2,right,0.9930742345418525,142,157,130,2898220,238.36854883236876,50.21917326896674,101.0,415.0
BraTS2021_00138,7,right,0.9960030625884063,140,172,138,3323040,273.5908146958377,75.66789684659962,91.0,488.0
BraTS2021_00139,16,left,0.015835283338904778,132,152,138,2768832,319.8419210762713,40.8774613828856,186.0,438.0
BraTS2021_00140,1,left,0.0,134,171,139,3185046,576.3921751649956,81.4524081637712,298.0,723.0
BraTS2021_00142,4,left,0.0023124908346399847,141,173,139,3390627,1130.3060294039697,393.5510562334852,166.0,2326.0
BraTS2021_00143,3,right,0.9986225810617194,141,169,142,3383718,300.5950991347548,91.25219758221559,136.0,712.0
BraTS2021_00144,1,right,1.0,133,177,136,3201576,465.05452041205217,125.91490783075977,102.90999999999985,792.0
BraTS2021_00146,5,bilateral/midline,0.20008120398440885,134,169,143,3238378,763.8595741008203,198.25672746270908,153.0,1293.0
BraTS2021_00147,1,left,0.006531585492464432,145,168,137,3337320,288.9628737105145,64.47856580836307,122.0,549.0
BraTS2021_00148,11,left,0.0,141,173,136,3317448,370.5745847525166,74.1405910860166,156.0,599.0
BraTS2021_00149,1,right,1.0,134,167,141,3155298,341.2773625912074,61.53980315797696,157.0,469.0
BraTS2021_00150,2,right,0.976138721774417,136,172,130,3040960,361.53047492533796,83.79631976067182,112.0,565.0
BraTS2021_00151,17,bilateral/midline,0.36430641333983255,136,163,137,3037016,298.1441743248601,60.670736115824376,121.0,468.0
BraTS2021_00152,6,left,0.0,133,167,137,3042907,396.08931134517405,104.99560032752414,155.0,791.0
BraTS2021_00154,2,right,1.0,143,165,141,3326895,360.55154900668816,130.8632966877398,112.0,946.0
BraTS2021_00155,2,right,0.8865190630877073,137,179,137,3359651,411.20787432886596,139.23445454121452,131.0,911.0
BraTS2021_00156,1,left,0.07669499057844775,135,170,142,3258900,264.89648141903814,106.02689888480637,36.0,682.0
BraTS2021_00157,1,left,0.0,177,163,131,3779481,403.7720167262194,131.12625346421723,147.0,953.0
BraTS2021_00158,2,right,0.9830929951932372,128,163,140,2920960,383.72023356122816,138.99722243419424,123.0,991.0
BraTS2021_00159,9,bilateral/midline,0.2140962595833656,138,180,143,3552120,441.9522655348935,147.4626488672109,136.0,1048.0
BraTS2021_00160,2,right,0.9999920432845322,134,173,141,3268662,408.2054871011911,152.64449492412882,147.0,1118.0
BraTS2021_00162,5,left,0.0,135,172,139,3227580,438.6575185243127,150.4184082866482,139.0,1147.0
BraTS2021_00165,1,left,0.11116929852830594,136,181,137,3372392,368.40830804473615,124.85470803441878,126.0,904.0
BraTS2021_00166,2,right,0.9730646590804902,127,161,134,2739898,1302.2250714195818,402.58474166652087,456.0,2933.0
BraTS2021_00167,1,right,0.9981790690490513,129,171,139,3066201,419.1723963073166,138.02805558669718,142.0,1035.0
BraTS2021_00170,1,right,0.9908372562205784,125,170,110,2337500,413.72171550394256,131.21839670608412,135.0,1026.0
BraTS2021_00171,4,left,0.0,141,177,136,3394152,351.85717316462683,132.92215446474583,106.0,894.0
BraTS2021_00172,6,left,0.0016117673537248524,139,170,144,3402720,456.7681319422205,155.1756718274883,151.0,1166.0
BraTS2021_00176,1,left,0.0,142,174,138,3409704,338.2218230582023,142.21513488623674,103.0,972.0
BraTS2021_00177,1,right,0.9973480810234542,147,172,139,3514476,415.5261787517268,145.1231360219405,121.0,1054.0
BraTS2021_00178,1,left,0.058121644110905264,135,175,141,3331125,402.99591469865027,140.264792890931,123.0,1021.0
BraTS2021_00183,2,left,0.08051372953879918,129,165,138,2937330,430.01093895738535,118.55809038641283,171.0,912.0
BraTS2021_00184,5,left,0.04857040468937978,139,177,137,3370611,435.798104412852,145.60451285742744,148.0,1076.0
BraTS2021_00185,8,right,0.9966886357819299,141,168,141,3340008,369.28709188452257,133.50583978610422,113.0,891.0
BraTS2021_00186,3,right,0.8729200638601224,137,205,139,3903815,421.63405132499986,153.831463877505,121.0,1077.0
BraTS2021_00187,1,left,0.019902010079631428,138,167,143,3295578,236.10786026618698,77.35569959943112,65.0,478.0
BraTS2021_00188,1,left,0.0004489505780238692,143,180,138,3552120,327.13343396353906,125.98524951508494,94.0,868.0
BraTS2021_00191,1,left,0.0,136,179,140,3408160,428.13624679450095,173.08104968064183,134.0,1238.0
BraTS2021_00192,2,right,0.9704663792620793,136,177,140,3370080,380.30354312996747,121.26721511084664,136.0,950.0
BraTS2021_00193,1,bilateral/midline,0.5655714647388113,140,188,135,3553200,413.8577426699194,78.0739023693239,170.0,616.0
BraTS2021_00194,1,right,1.0,128,170,142,3089920,376.0849502595783,127.06652392435238,118.0,949.0
BraTS2021_00195,1,right,0.9934084354978479,133,171,138,3138534,374.49864302779633,122.35266418021979,100.0,927.0
BraTS2021_00196,1,bilateral/midline,0.8299071294660757,131,161,139,2931649,410.179157844407,151.22370656054756,116.0,1109.0
BraTS2021_00199,3,left,0.09134787509116224,137,181,140,3471580,371.3491304001102,127.16480594352794,127.0,913.0
BraTS2021_00201,2,left,0.00724696520644716,144,170,142,3476160,420.50475317146316,136.43337365612885,139.0,1017.0
BraTS2021_00203,1,left,0.0016023665721681252,136,167,142,3225104,384.879541661544,144.8562942129596,122.0,1071.0
BraTS2021_00204,2,bilateral/midline,0.3717922948073702,140,174,138,3361680,55.91222453268924,19.632480509304763,14.0,113.0
BraTS2021_00206,2,right,1.0,137,177,140,3394860,2095.6994776679635,392.1603617486479,805.0,2799.070000000065
BraTS2021_00207,2,right,1.0,132,170,143,3208920,389.1741567201469,162.79089478790038,109.0,1132.0
BraTS2021_00209,3,right,1.0,151,173,143,3735589,388.3220132569849,125.18791806553872,141.0,924.0
BraTS2021_00210,1,right,0.9972141278939447,135,170,142,3258900,412.0353675534508,143.15307420787093,143.0,1075.0
BraTS2021_00211,2,left,0.025660706760580337,143,167,141,3367221,366.79650462643457,135.12851678248924,118.0,1010.0
BraTS2021_00212,5,bilateral/midline,0.3349328085616854,141,172,139,3371028,454.5620414485002,147.11024504589327,155.0,1068.0
BraTS2021_00214,1,right,1.0,145,181,140,3674300,384.60856886993804,92.00999232437779,175.0,731.0
BraTS2021_00216,1,right,0.9882513227189971,137,162,138,3062772,267.95224029911225,82.18195540046902,62.0,557.0
BraTS2021_00217,1,right,0.9976180555123668,140,184,141,3632160,413.11577370854764,95.27968358266074,147.0,679.0
BraTS2021_00218,1,left,0.0,149,185,141,3886665,434.6446765942387,165.8368307274868,96.0,1062.0
BraTS2021_00219,2,left,0.0,134,174,139,3240924,386.61295253352256,124.77216290541973,127.0,933.0
BraTS2021_00220,12,right,1.0,127,172,137,2992628,467.54719900232914,164.82545814446775,167.0,1268.0
BraTS2021_00221,1,right,1.0,124,178,136,3001792,370.60956793429875,129.3711414824706,113.0,901.0
BraTS2021_00222,1,right,1.0,141,175,140,3454500,443.3727135737397,147.16901870046158,141.0,1037.0
BraTS2021_00227,7,left,0.0,131,176,143,3297008,388.4451095245943,119.79356264347425,129.0,867.0
BraTS2021_00228,1,left,0.0,145,163,140,3308900,572.1822500391909,152.10069578241303,140.0,1014.0
BraTS2021_00230,5,left,0.017274750161292447,142,165,142,3327060,425.0397603477943,159.21213095301724,140.0,1182.0
BraTS2021_00231,2,left,0.0,142,158,144,3230784,404.77363691497106,140.96134757868478,134.0,1019.6999999999534
BraTS2021_00233,3,right,1.0,142,162,135,3105540,403.0077204241576,128.19744040228295,148.0,991.0
BraTS2021_00234,1,right,0.9795722274535427,146,178,144,3742272,434.9905093836913,141.16705120404217,138.0,977.0
BraTS2021_00235,1,right,0.9998571360540978,126,166,142,2970072,372.7645532500393,125.05628823317831,115.0,892.0
BraTS2021_00236,6,right,0.9674105954388145,140,165,140,3234000,348.5824001432446,137.58427378372372,110.0,887.0
BraTS2021_00237,1,left,0.0,133,173,138,3175242,434.7468069008251,151.0324250052179,134.0,1132.0
BraTS2021_00238,1,bilateral/midline,0.4776879048565651,134,168,140,3151680,407.3660678850954,146.73941516904756,107.0,1040.0
BraTS2021_00239,2,left,0.0,147,179,139,3657507,391.28906981907056,113.3027567572154,149.0,818.0
BraTS2021_00240,2,right,0.8946370794162165,135,169,141,3216915,392.08077580693214,129.62955443286256,143.0,913.0
BraTS2021_00241,1,left,0.0,138,172,140,3323040,313.3985679510792,112.05265159466032,108.0,793.0
BraTS2021_00242,4,left,0.07868451938968599,138,172,140,3323040,382.75456186264154,102.07110886866542,135.0,724.0
BraTS2021_00243,4,right,0.8678038379530917,132,173,135,3082860,427.19474388111206,57.95106929916594,235.0,555.0
BraTS2021_00246,1,right,0.8818740955137482,133,179,138,3285366,434.50910045033356,154.59774822010968,133.0,1125.0
BraTS2021_00247,1,left,0.0,129,160,136,2807040,384.7692007739296,146.42961492477482,113.0,985.0
BraTS2021_00249,1,left,0.0,135,175,141,3331125,440.2859532366121,155.48670940462344,139.0,1096.0
BraTS2021_00250,2,right,0.9361047551291173,136,157,138,2946576,318.4671405988626,110.72380637909052,98.0,743.0
BraTS2021_00251,1,right,1.0,136,179,141,3432504,384.6216010579194,132.96320732128794,118.0,901.0
BraTS2021_00253,1,right,1.0,131,176,139,3204784,399.29128976947726,116.49903858329677,141.0,879.0
BraTS2021_00254,4,right,0.9999797345222413,141,168,139,3292632,355.0059511156903,120.27653585397819,137.0,894.0
BraTS2021_00258,10,left,0.00661634973534601,129,177,138,3150954,311.08343880546727,58.783881983358704,139.0,455.0
BraTS2021_00259,1,left,0.0018977046810048797,130,182,142,3359720,463.3202176911206,171.6068168655642,141.0,1255.0
BraTS2021_00260,1,bilateral/midline,0.8085508444549427,147,162,143,3405402,347.14592619489804,124.88391393402904,91.0,735.0
BraTS2021_00261,1,left,7.453508739238997e-05,145,173,142,3562070,206.9970471786425,86.78510313558317,39.0,589.0
BraTS2021_00262,2,left,0.0,135,175,142,3354750,332.51149316064453,66.16065890899355,131.0,503.0
BraTS2021_00263,2,right,0.9637960411211106,138,190,140,3670800,373.3105911217879,106.11002798500527,129.0,741.0
BraTS2021_00266,2,right,0.9728734111528657,130,169,142,3119740,204.75474321332396,77.66820669075784,34.0,502.0
BraTS2021_00267,2,left,0.0,146,171,142,3545172,355.3167087860264,121.09067916796555,126.0,867.0
BraTS2021_00269,1,left,0.0,147,183,141,3793041,289.6605317537181,117.77940850765975,77.0,814.0
BraTS2021_00270,2,right,1.0,131,154,141,2844534,175.00136545598306,27.875227657869374,80.0,239.0
BraTS2021_00271,1,right,0.9945134486610832,136,165,141,3164040,359.51193857856225,150.09001089264999,112.0,1079.0
BraTS2021_00273,1,left,0.0,136,161,137,2999752,392.60127168963106,140.55055349483183,118.0,914.0
BraTS2021_00274,4,right,1.0,142,167,138,3272532,359.75894272154756,123.51385192605007,123.0,865.0
BraTS2021_00275,1,left,0.0,140,172,142,3419360,677.9434772981571,129.67788247280592,382.0,1098.0
BraTS2021_00280,5,right,1.0,133,171,142,3229506,381.0952872843605,128.9619674597743,119.0,848.0
BraTS2021_00281,1,right,0.9636807871363952,136,162,140,3084480,271.7793391307795,70.22833187734267,80.0,466.0
BraTS2021_00282,3,right,1.0,146,173,139,3510862,409.45893207827424,136.90485214142262,125.0,909.0
BraTS2021_00283,5,bilateral/midline,0.7529233229001531,143,166,143,3394534,429.4398291068968,139.75198130383237,137.0,983.0
BraTS2021_00284,5,bilateral/midline,0.7455352480417755,136,173,139,3270392,558.9941116112186,180.62092745767683,217.0,1476.0
BraTS2021_00285,1,right,1.0,135,176,138,3278880,346.6161861172005,111.35212452086778,112.0,777.0
BraTS2021_00286,14,bilateral/midline,0.32719912613249375,143,183,143,3742167,413.1937885573185,121.41057185238756,142.0,930.0
BraTS2021_00288,1,right,1.0,133,170,140,3165400,416.78269915819715,141.20482994514518,145.0,1081.0
BraTS2021_00289,1,left,0.0,130,175,139,3162250,295.3122923520489,117.13353236711293,73.0,791.0
BraTS2021_00290,4,left,0.0,143,176,149,3750032,321.3320389573215,111.71597994091634,113.0,814.0
BraTS2021_00291,4,right,1.0,135,184,153,3800520,411.31912535812745,71.63946402950602,214.0,610.0
BraTS2021_00292,3,right,0.9985305511768949,146,168,144,3532032,588.3233450815554,185.14977337935164,186.0,1382.0
BraTS2021_00293,7,left,0.0,138,176,141,3424608,351.5451825653614,124.92509185605188,103.0,907.0
BraTS2021_00294,1,right,1.0,137,177,142,3443358,360.6998587595662,62.005859776419804,178.0,539.0
BraTS2021_00296,8,left,0.11861008021070274,134,172,139,3203672,376.8772545816079,126.63434846330019,129.0,929.0
BraTS2021_00297,1,right,1.0,140,156,140,3057600,439.6754076164352,171.1912395869916,131.0,1216.0
BraTS2021_00298,1,right,1.0,127,172,137,2992628,296.8469030925688,119.07089199789357,86.0,816.0
BraTS2021_00299,1,right,1.0,142,163,142,3286732,295.4270411174762,106.6206498198494,83.0,771.0
BraTS2021_00300,3,right,0.9969413914017149,140,172,140,3371200,466.32650399962864,183.47761962191478,141.0,1318.0
BraTS2021_00301,5,left,0.0636616420313186,149,170,144,3647520,456.0406963287712,150.3580575294675,147.0,1101.0
BraTS2021_00303,1,left,0.0,142,176,140,3498880,364.3851452819697,116.46637216358005,116.0,762.0
BraTS2021_00304,2,right,0.9999743316606132,136,177,141,3394152,436.6399351608656,147.70717883589347,147.0,1001.0
BraTS2021_00305,10,left,0.0,136,161,139,3043544,416.07305701877317,132.2182657375695,146.0,993.0
BraTS2021_00306,1,left,0.0,128,164,138,2896896,410.388441093267,135.25778873852596,138.0,1006.0
BraTS2021_00309,5,right,1.0,139,180,139,3477780,330.6812579680046,108.82524050883323,101.0,713.0
BraTS2021_00310,7,right,0.9972840903245718,135,162,136,2974320,542.7327063348166,224.09165540464556,181.0,1524.0
BraTS2021_00311,1,left,0.0,142,170,139,3355460,379.9668529989616,121.65449095866073,130.0,862.0
BraTS2021_00312,1,left,0.00312533150546321,135,168,140,3175200,214.73216081311466,68.82853638442532,56.0,460.0
BraTS2021_00313,2,left,0.03357168493415422,141,173,144,3512592,424.71126283165535,133.50856994989638,145.0,976.0
BraTS2021_00314,6,right,1.0,140,165,140,3234000,365.89349374242835,135.80701286494454,124.0,944.0
BraTS2021_00316,3,right,0.9268975265017668,135,185,141,3521475,515.6253853640468,173.86754950757873,155.0,1256.0
BraTS2021_00317,2,right,0.9958717656406536,133,170,141,3188010,1110.9974478979427,244.55324006012475,496.0,2029.0
BraTS2021_00318,1,bilateral/midline,0.3050089236763213,137,187,140,3586660,522.7627950807577,181.29751079304674,174.0,1357.0
BraTS2021_00320,2,right,1.0,130,173,140,3148600,435.8721364345311,171.5121757293246,139.0,1139.0
BraTS2021_00321,1,right,1.0,138,180,139,3452760,430.8490765000081,131.48756207818192,153.0,954.0
BraTS2021_00322,2,bilateral/midline,0.6210833098298346,144,170,139,3402720,436.0228945851628,134.91765329598954,180.0,1005.0
BraTS2021_00324,1,left,0.00537054352777578,140,178,141,3513720,329.7576457739277,109.53113581613904,103.0,703.0
BraTS2021_00325,1,right,0.9885597138494843,136,164,145,3234080,238.09744222293693,58.61434298806181,77.0,371.0
BraTS2021_00327,2,left,0.004651824165109287,127,173,142,3119882,377.1288378563958,111.26367410496417,117.0,776.0
BraTS2021_00328,2,right,1.0,139,167,144,3342672,473.1212803409364,168.87046330837865,166.0,1261.0
BraTS2021_00329,11,right,0.9932778489116517,136,159,137,2962488,463.7839702551615,150.777594233402,157.0,1116.0
BraTS2021_00331,1,left,0.0,137,173,147,3484047,480.5023985995387,173.33026266309858,137.0,1176.0
BraTS2021_00332,3,right,0.8725043782837127,124,160,127,2519680,408.57016741285105,143.64335742206043,96.0,1037.0
BraTS2021_00334,2,right,0.9386875897521281,134,182,143,3487484,485.4786773894021,145.98364815528856,170.0,1132.0
BraTS2021_00336,1,left,0.0295884898431686,136,173,143,3364504,433.43839322006846,149.88481628329268,154.0,1154.0
BraTS2021_00338,1,left,0.0,138,182,141,3541356,299.2994743503992,59.4187725819496,119.0,466.0
BraTS2021_00339,1,left,0.009248732888067832,138,174,142,3409704,363.0076649221219,111.45523510464133,121.0,826.0
BraTS2021_00340,2,left,0.0010301157365327515,148,171,139,3517812,394.8132993843648,153.38274370813878,118.0,1059.0
BraTS2021_00341,4,left,0.0003619254433586681,132,160,135,2851200,469.6298874223662,134.9433368890727,180.0,1017.0
BraTS2021_00343,2,right,1.0,127,179,143,3250819,419.3832786867644,130.39155310185006,136.0,949.0
